Azienda;Email;Città;Provincia;Settore;Fatturato_M€;Verificata
Assicurazioni Generali;info@generali.com;Trieste;TS;Assicurazioni;6200;Sì
Fincantieri;info@fincantieri.it;Trieste;TS;Cantieristica;5100;Sì
Danieli & C;info@danieli.com;Buttrio;UD;Siderurgia;1300;Sì
Acciaierie Bertoli Safau;info@absacciai.com;Udine;UD;Acciaio;1200;Sì
Ferriere Nord;info@ferrierenord.it;Rivoli di Osoppo;UD;Acciaio;1250;Sì
EstEnergy;info@estenergy.it;Trieste;TS;Energia;1240;Sì
Electrolux Italia;info@electrolux.it;Porcia;PN;Elettrodomestici;1080;Sì
Friul Intagli Industries;info@friulintagli.it;San Daniele del Friuli;UD;Mobili;901;Sì
Genertel;info@genertel.it;Trieste;TS;Assicurazioni;579;Sì
Generali Operations Service Platform;info@gosp.it;Trieste;TS;Servizi;556;Sì
Rizzani de Eccher;info@rizzani.it;Udine;UD;Costruzioni;545;Sì
2Lima Corporate;info@2limacorporate.com;San Daniele del Friuli;UD;Ortopedia;221;Sì
Adriatronics;info@adriatronics.it;Trieste;TS;Elettronica;242;Sì
Acciaierie Valbruna;info@valbruna.com;Vicenza;VI;Acciaio;1300;Sì
Zignago Vetro;info@zignagovetro.com;San Michele di Piave;VE;Vetro;700;Sì
Grandi Molini Italiani;info@grandimolini.it;Rovigo;RO;Alimentare;248;Sì
Inox Tech;info@inoxtech.it;Lendinara;RO;Metallurgia;176;Sì
Guerrato;info@guerrato.it;Rovigo;RO;Impianti;121;Sì
TXT;info@txtgroup.com;Occhiobello;RO;Commercio;120;Sì
Zhermack;info@zhermack.com;Badia Polesine;RO;Odontoiatria;105;Sì
IRSAP;info@irsap.com;Arquà Polesine;RO;Radiatori;101;Sì
Adriatica;info@adriatica.it;Loreo;RO;Fertilizzanti;107;Sì
Saica Pack Italia;info@saicapack.it;Badia Polesine;RO;Imballaggi;87;Sì
Abafoods;info@abafoods.it;Badia Polesine;RO;Bevande;89;Sì
Cartiere del Polesine;info@cartieredelpolesine.it;Loreo;RO;Carta;82;Sì
Geberit Produzione;info@geberit.it;Villadose;RO;Plastica;79;Sì
Erreffe Group;info@erreffegroup.it;Rovigo;RO;Automotive;76;Sì
Finpesca;info@finpesca.it;Porto Viro;RO;Pesce;80;Sì
Consorzio Trans-Lusia;info@translusia.it;Lusia;RO;Trasporti;74;Sì
Selecta;info@selecta.it;Occhiobello;RO;Pesce;65;Sì
Veneta Pesca;info@venetapesca.it;Porto Viro;RO;Pesce;64;Sì
Incold;info@incold.it;Rovigo;RO;Refrigerazione;62;Sì
Wavin Italia;info@wavin.it;Occhiobello;RO;Plastica;71;Sì
Ciscra;info@ciscra.it;Villanova del Ghebbo;RO;Editoria;55;Sì
Donatoni Macchine;info@donatonimacchine.eu;Sant'Ambrogio Valpolicella;VR;Robotica lapideo;80;Sì
S.E.A. Spa;info@seaspa.it;Arzignano;VI;Conciaria;120;Sì
Sew-Eurodrive;info@sew-eurodrive.it;Arzignano;VI;Azionamenti;150;Sì
Luxottica;info@luxottica.com;Sedico;BL;Occhiali;10000;Sì
Carraro;webinfo@carraro.com;Campodarsego;PD;Meccanica;450;Sì
Safilo;info@safilo.com;Padova;PD;Occhiali;1000;Sì
Dainese;info@dainese.com;Molvena;VI;Protezioni;200;Sì
Diesel;info@diesel.com;Breganze;VI;Moda;500;Sì
Bottega Veneta;info@bottegaveneta.com;Vicenza;VI;Moda;1500;Sì
Calzaturificio Diemme;info@diemme.com;Caerano di San Marco;TV;Calzature;80;Sì
Aprilia;info@aprilia.com;Noale;VE;Moto;600;Sì
Carrera;info@carrera.it;Montebelluna;TV;Occhiali;150;Sì
Rossignol;info@rossignol.com;Treviso;TV;Sport;200;Sì
La Marca;info@lamarca.it;Treviso;TV;Alimentare;100;Sì
Bisol;info@bisol.it;Valdobbiadene;TV;Vini;50;Sì
Zonin;info@zonin1821.it;Gambellara;VI;Vini;150;Sì
Masi;info@masi.it;Gargagnago;VR;Vini;80;Sì
Allegrini;info@allegrini.it;Fumane;VR;Vini;60;Sì
Sartori;info@sartorivini.it;Verona;VR;Vini;70;Sì
Cantina di Soave;info@cantinadisoave.it;Soave;VR;Vini;80;Sì
Cantina Valpolicella;info@cantinavalpolicella.it;San Pietro in Cariano;VR;Vini;90;Sì
Gruppo Veronesi;info@gruppoveronesi.it;Verona;VR;Alimentare;5000;Sì
Eurospin;info@eurospin.it;San Martino Buon Albergo;VR;GDO;8000;Sì
Famila;info@famila.it;Schio;VI;GDO;500;Sì
Bennet;info@bennet.it;Verona;VR;GDO;1500;Sì
Billa;info@billa.it;Verona;VR;GDO;800;Sì
Despar;info@despar.it;Padova;PD;GDO;600;Sì
Gruppo PAM;info@pam.it;Spinea;VE;GDO;2000;Sì
Cadoro;info@cadoro.it;Treviso;TV;Cioccolato;80;Sì
Rana;info@rana.it;San Giovanni Lupatoto;VR;Alimentare;600;Sì
Berto;info@berto.it;Padova;PD;Alimentare;100;Sì
Fattorie Osella;info@osella.it;Padova;PD;Latticini;150;Sì
Zanussi;info@zanussi.it;Porcia;PN;Elettrodomestici;800;Sì
Rex;info@rex.it;Porcia;PN;Elettrodomestici;200;Sì
Lago;info@lago.it;Villa di Villa;TV;Mobili;80;Sì
Morelato;info@morelato.com;Sanguinetto;VR;Mobili;100;Sì
Verallia Italia;info@verallia.com;Lonigo;VI;Vetro;739;Sì
Acqua San Benedetto;info@acquasambenedetto.it;Scorzè;VE;Bevande;798;Sì
Illycaffè;info@illy.com;Trieste;TS;Caffè;630;Sì
AcegasApsAmga;info@acegasapsamga.it;Trieste;TS;Utility;416;Sì
Wärtsilä Italia;info@wartsila.com;Trieste;TS;Motori;194;Sì
Pedon;info@pedon.it;Molvena;VI;Legumi;150;Sì
Rigoni di Asiago;info@rigoni.it;Asiago;VI;Alimentare;80;Sì
Fabbri 1905;info@fabbri1905.com;Padova;PD;Alimentare;100;Sì
Marzotto Group;info@marzottogroup.it;Valdagno;VI;Tessile;109;Sì
Zoppas Industries;info@zoppas.com;Conegliano;TV;Riscaldamento;200;Sì
