Company;Email;City;Country;Sector
Fresenius Kabi Norge;info@fresenius-kabi.com;Oslo;Norway;Pharma
Amgen Norway;info@amgen.no;Oslo;Norway;Pharma
Boehringer Ingelheim Norway;info@boehringer-ingelheim.no;Asker;Norway;Pharma
Astellas Pharma Norway;info@astellas.no;Asker;Norway;Pharma
AlgiPharma AS;info@algipharma.com;Sandvika;Norway;Pharma
Arctic Bioscience AS;info@arctic-bioscience.com;Ørsta;Norway;Pharma
Mericon AS;post@mericon.no;Skien;Norway;Pharma
Mölnlycke Health Care AS;info@molnlycke.no;Oslo;Norway;Pharma
MSD Norway;info@msd.no;Drammen;Norway;Pharma
Nordic Nanovector ASA;info@nordicnanovector.com;Oslo;Norway;Pharma
Nykode Therapeutics ASA;info@nykode.com;Oslo;Norway;Pharma
Ultimovacs ASA;mail@ultimovacs.com;Oslo;Norway;Pharma
Vistin Pharma AS;vistin@vistin.com;Oslo;Norway;Pharma
Xellia Pharmaceuticals;info@xellia.com;Oslo;Norway;Pharma
PCI Biotech Holding ASA;info@pcibiotech.no;Oslo;Norway;Pharma
Grünenthal Norway;info@grunenthal.com;Oslo;Norway;Pharma
LINK Medical Research;Norway@linkmedical.eu;Oslo;Norway;Pharma
Teknolab;mail@teknolab.no;Ski;Norway;Industrial
ABB;info@abb.com;Zürich;Switzerland;Automation
Actelion;info@actelion.com;Allschwil;Switzerland;Pharma
Alcon;info@alcon.com;Hünenberg;Switzerland;Pharma
Allseas;info@allseas.com;Châtel-Saint-Denis;Switzerland;Industrial
Alpiq;info@alpiq.com;Baden;Switzerland;Industrial
ALSO Holding;info@also.com;Emmen;Switzerland;Engineering
Amcor;info@amcor.com;Zürich;Switzerland;Manufacturing
Ascom;info@ascom.com;Baar;Switzerland;Engineering
Audemars Piguet;info@audemarspiguet.com;Le Brassus;Switzerland;Manufacturing
AutoForm;info@autoform.com;Freienbach;Switzerland;Engineering
Axpo Holding;info@axpo.com;Baden;Switzerland;Industrial
Bally;info@bally.com;Caslano;Switzerland;Manufacturing
Bâloise;info@baloise.ch;Caslano;Switzerland;Industrial
Barry Callebaut;info@barry-callebaut.com;Zürich;Switzerland;Manufacturing
Bühler;info@buhlergroup.com;Uzwil;Switzerland;Industrial
Burckhardt Compression;info@burckhardtcompression.com;Winterthur;Switzerland;Manufacturing
Chopard;info@chopard.com;Geneva;Switzerland;Manufacturing
Clariant;info@clariant.com;Muttenz;Switzerland;Pharma
Coop;info@coop.ch;Basel;Switzerland;Manufacturing
Doppelmayr Garaventa Group;info@doppelmayr.com;Risch-Rotkreuz;Switzerland;Industrial
Dormakaba;info@dormakaba.com;Rümlang;Switzerland;Manufacturing
Emmi AG;info@emmi.com;Lucerne;Switzerland;Manufacturing
Firmenich;info@firmenich.com;Geneva;Switzerland;Pharma
Franke;info@franke.com;Aarburg;Switzerland;Manufacturing
Geberit;info@geberit.com;Rapperswil-Jona;Switzerland;Manufacturing
Georg Fischer;info@georgfischer.com;Schaffhausen;Switzerland;Industrial
Givaudan;info@givaudan.com;Vernier;Switzerland;Pharma
Glencore;info@glencore.com;Baar;Switzerland;Industrial
Gategroup;info@gategroup.com;Zürich;Switzerland;Manufacturing
Gunvor;info@gunvorgroup.com;Geneva;Switzerland;Industrial
Implenia;info@implenia.com;Dietlikon;Switzerland;Engineering
Intamin;info@intamin.com;Wollerau;Switzerland;Manufacturing
IQAir;info@iqair.com;Goldach;Switzerland;Industrial
Jet Aviation;info@jetaviation.com;Basel;Switzerland;Industrial
Julius Baer Group;info@juliusbaer.com;Zürich;Switzerland;Industrial
Kudelski Group;info@nagra.com;Cheseaux-sur-Lausanne;Switzerland;Engineering
Kuehne + Nagel;info@kuehne-nagel.com;Feusisberg;Switzerland;Industrial
Kuoni Travel;info@kuoni.com;Zürich;Switzerland;Industrial
LafargeHolcim;info@lafargeholcim.com;Rapperswil-Jona;Switzerland;Manufacturing
Leica Geosystems;info@leica-geosystems.com;Au-Heerbrugg;Switzerland;Engineering
Liebherr;info@liebherr.com;Bulle;Switzerland;Industrial
Lindt & Sprüngli;info@lindt.com;Kilchberg;Switzerland;Manufacturing
Logitech;info@logitech.com;Lausanne;Switzerland;Engineering
Lonza Group;info@lonza.com;Basel;Switzerland;Pharma
Mediterranean Shipping Company;info@msc.com;Geneva;Switzerland;Industrial
Mercuria Energy Group;info@mercuria.com;Geneva;Switzerland;Industrial
Mettler Toledo;info@mt.com;Greifensee;Switzerland;Manufacturing
Migros;info@migros.ch;Zürich;Switzerland;Manufacturing
Mövenpick Hotels & Resorts;info@movenpick.com;Zürich;Switzerland;Industrial
MSC Cruises;info@msccruises.com;Geneva;Switzerland;Industrial
Nestlé;info@nestle.com;Vevey;Switzerland;Manufacturing
Nobel Biocare;info@nobelbiocare.com;Zürich;Switzerland;Pharma
Novartis;info@novartis.com;Basel;Switzerland;Pharma
OC Oerlikon;info@oerlikon.com;Pfäffikon;Switzerland;Industrial
Panalpina;info@panalpina.com;Basel;Switzerland;Industrial
Patek Philippe;info@patek.com;Plan-les-Ouates;Switzerland;Manufacturing
Pilatus Aircraft;info@pilatus-aircraft.com;Stans;Switzerland;Manufacturing
PLATIT;info@platit.com;Selzach;Switzerland;Manufacturing
Rehau Group;info@rehau.com;Muri;Switzerland;Manufacturing
Richemont;info@richemont.com;Bellevue;Switzerland;Manufacturing
Roche;info@roche.com;Basel;Switzerland;Pharma
Rolex;info@rolex.com;Geneva;Switzerland;Manufacturing
Sandoz;info@sandoz.com;Basel;Switzerland;Pharma
Schindler Group;info@schindler.com;Lucerne;Switzerland;Industrial
SGS;info@sgs.com;Geneva;Switzerland;Industrial
SIG Combibloc Group;info@sig.biz;Neuhausen;Switzerland;Manufacturing
Sika;info@sika.com;Baar;Switzerland;Manufacturing
SITA;info@sita.aero;Geneva;Switzerland;Engineering
Sonova;info@sonova.com;Stäfa;Switzerland;Pharma
Stäubli;info@staubli.com;Pfäffikon;Switzerland;Robotics
STMicroelectronics;info@st.com;Geneva;Switzerland;Engineering
Sulzer;info@sulzer.com;Winterthur;Switzerland;Industrial
Sunrise Communications;info@sunrise.ch;Zürich;Switzerland;Engineering
Sunstar Group;info@sunstar.com;Zürich;Switzerland;Pharma
Swatch;info@swatch.com;Biel/Bienne;Switzerland;Manufacturing
Swiss International Air Lines;info@swiss.com;Basel;Switzerland;Industrial
Swiss Life;info@swisslife.ch;Zürich;Switzerland;Industrial
Swiss Post;info@swisspost.ch;Bern;Switzerland;Industrial
Swiss Re;info@swissre.com;Zürich;Switzerland;Industrial
Swisscom;info@swisscom.ch;Ittigen;Switzerland;Engineering
Swissport;info@swissport.com;Opfikon;Switzerland;Industrial
TAG Heuer;info@tagheuer.com;La Chaux-de-Fonds;Switzerland;Manufacturing
TE Connectivity;info@te.com;Schaffhausen;Switzerland;Engineering
Tecan;info@tecan.com;Männedorf;Switzerland;Pharma
Tetra Pak;info@tetrapak.com;Pully;Switzerland;Manufacturing
The Adecco Group;info@adecco.com;Opfikon;Switzerland;Industrial
The Swatch Group;info@swatchgroup.com;Biel/Bienne;Switzerland;Manufacturing
Trafigura;info@trafigura.com;Geneva;Switzerland;Industrial
Transocean;info@transocean.com;Vernier;Switzerland;Industrial
u-blox;info@u-blox.com;Thalwil;Switzerland;Engineering
UBS;info@ubs.com;Zürich;Switzerland;Industrial
Uster Technologies;info@uster.com;Uster;Switzerland;Engineering
Vacheron Constantin;info@vacheronconstantin.com;Geneva;Switzerland;Manufacturing
Victorinox;info@victorinox.com;Ibach;Switzerland;Manufacturing
Vitol;info@vitol.com;Geneva;Switzerland;Industrial
Von Roll;info@vonroll.com;Breitenbach;Switzerland;Industrial
Weatherford International;info@weatherford.com;Baar;Switzerland;Industrial
Weleda;info@weleda.com;Arlesheim;Switzerland;Pharma
Wenger;info@wenger.ch;Delémont;Switzerland;Manufacturing
Zurich Insurance Group;info@zurich.com;Zürich;Switzerland;Industrial
Bolliger & Mabillard;info@bolligerandmabillard.com;Monthey;Switzerland;Manufacturing
Oscilloquartz;info@oscilloquartz.com;Saint-Blaise;Switzerland;Engineering
Breitling;info@breitling.com;Grenchen;Switzerland;Manufacturing
Omega;info@omegawatches.com;Biel/Bienne;Switzerland;Manufacturing
Tissot;info@tissot.com;Le Locle;Switzerland;Manufacturing
Longines;info@longines.com;Saint-Imier;Switzerland;Manufacturing
Blancpain;info@blancpain.com;Paudex;Switzerland;Manufacturing
Jaeger-LeCoultre;info@jaeger-lecoultre.com;Le Sentier;Switzerland;Manufacturing
Piaget;info@piaget.com;Geneva;Switzerland;Manufacturing
Roger Dubuis;info@rogerdubuis.com;Geneva;Switzerland;Manufacturing
Hublot;info@hublot.com;Nyon;Switzerland;Manufacturing
Maurice Lacroix;info@mauricelacroix.com;Zürich;Switzerland;Manufacturing
Frédérique Constant;info@frederiqueconstant.com;Geneva;Switzerland;Manufacturing
Girard-Perregaux;info@girard-perregaux.com;La Chaux-de-Fonds;Switzerland;Manufacturing
Ulysse Nardin;info@ulysse-nardin.com;Le Locle;Switzerland;Manufacturing
Hamilton;info@hamiltonwatch.com;Biel/Bienne;Switzerland;Manufacturing
Mido;info@mido.com;Le Locle;Switzerland;Manufacturing
Certina;info@certina.com;Le Locle;Switzerland;Manufacturing
Glycine;info@glycine-watch.ch;Biel/Bienne;Switzerland;Manufacturing
Caran d'Ache;info@carandache.com;Geneva;Switzerland;Manufacturing
Elinchrom;info@elinchrom.com;Renens;Switzerland;Manufacturing
Bamix;info@bamix.com;Inwil;Switzerland;Manufacturing
Trisa;info@trisa.ch;Triengen;Switzerland;Manufacturing
Feldschlösschen;info@feldschloesschen.ch;Rheinfelden;Switzerland;Manufacturing
Rivella;info@rivella.ch;Rothrist;Switzerland;Manufacturing
Création Baumann;info@créationbaumann.com;Langenthal;Switzerland;Manufacturing
Sersa Group;info@sersa.ch;Neuchâtel;Switzerland;Industrial
Sigg;info@sigg.ch;Frauenfeld;Switzerland;Manufacturing
Securitas;info@securitas.ch;Zollikofen;Switzerland;Industrial
BLS AG;info@blsag.com;Bern;Switzerland;Industrial
Südostbahn;info@südostbahn.com;St. Gallen;Switzerland;Industrial
Cargo Sous Terrain;info@cargosousterrain.com;Basel;Switzerland;Industrial
Dartfish;info@dartfish.com;Fribourg;Switzerland;Engineering
Crypto AG;info@crypto.ch;Steinhausen;Switzerland;Engineering
Vidby;info@vidby.com;Risch-Rotkreuz;Switzerland;Engineering
Alpa;;Zürich;Switzerland;Manufacturing
Antiquorum;info@antiquorum.com;Geneva;Switzerland;Industrial
Atlanship;info@atlanship.com;La Tour-de-Peilz;Switzerland;Industrial
Bianchet;info@bianchet.com;Neuchâtel;Switzerland;Manufacturing
Bolex;info@bolex.com;Yverdon-les-Bains;Switzerland;Manufacturing
Bron Elektronik;info@bronelektronik.com;Allschwil;Switzerland;Manufacturing
Century Time Gems;info@centurytimegems.com;Nidau;Switzerland;Manufacturing
Charriol;info@charriol.com;Geneva;Switzerland;Manufacturing
Circus Knie;info@circusknie.com;Rapperswil;Switzerland;Industrial
Comlux;info@comlux.com;Zürich;Switzerland;Industrial
CGN;;Lausanne;Switzerland;Industrial
Denner;info@denner.ch;Zürich;Switzerland;Manufacturing
Edipresse;info@edipresse.com;Lausanne;Switzerland;Engineering
Endura;info@endura.com;Biel/Bienne;Switzerland;Manufacturing
Era Watch Company;info@erawatchcompany.com;Les Genevez;Switzerland;Manufacturing
Ex Libris;info@exlibris.ch;Dietikon;Switzerland;Industrial
Expert;info@expert.ch;Zug;Switzerland;Industrial
Flug- und Fahrzeugwerke Altenrhein;info@flugundfahrzeugwerkealten.com;Thal;Switzerland;Manufacturing
Glass's Guide;info@glasssguide.com;Freienbach;Switzerland;Industrial
Globus;info@globus.ch;Spreitenbach;Switzerland;Industrial
Greubel Forsey;info@greubelforsey.com;La Chaux-de-Fonds;Switzerland;Manufacturing
Habib Bank AG Zurich;info@habibbankagzurich.com;Zürich;Switzerland;Industrial
Heliswiss;info@heliswiss.ch;Belp;Switzerland;Industrial
Helvetic Airways;info@helvetic.com;Kloten;Switzerland;Industrial
HSBC Private Bank;info@hsbcprivatebank.com;Geneva;Switzerland;Industrial
Jowissa;info@jowissa.ch;Bettlach;Switzerland;Manufacturing
Kempinski;info@kempinski.com;Geneva;Switzerland;Industrial
Lions Air;info@lionsair.ch;Zürich;Switzerland;Industrial
Limmattaler Zeitung;info@limmattalerzeitung.com;Dietikon;Switzerland;Industrial
Maggi;info@maggi.com;Cham;Switzerland;Manufacturing
MB&F;info@mbandf.com;Geneva;Switzerland;Manufacturing
Mondaine;info@mondaine.com;Pfäffikon SZ;Switzerland;Manufacturing
Obersee Nachrichten;info@oberseenachrichten.ch;Rapperswil;Switzerland;Industrial
Radio Zürisee;info@radiozuerisee.ch;Rapperswil;Switzerland;Industrial
Rotpunktverlag;info@rotpunktverlag.ch;Zürich;Switzerland;Industrial
SAPAL;info@sapal.com;Lausanne;Switzerland;Manufacturing
Selecta;info@selecta.com;Kirchberg;Switzerland;Industrial
Serono;info@merckgroup.com;Geneva;Switzerland;Pharma
Sihltal Zürich Uetliberg Bahn;info@sihltalzürichuetlibergbah.com;Zürich;Switzerland;Industrial
SkyWork Airlines;info@flyskywork.com;Belp;Switzerland;Industrial
Swiss Bank Corporation;info@swissbankcorporation.com;Basel;Switzerland;Industrial
Swiss Federal Railways;info@swissfederalrailways.com;Bern;Switzerland;Industrial
SwissGear;info@swissgear.com;Delémont;Switzerland;Manufacturing
Tamedia;info@tamedia.ch;Zürich;Switzerland;Industrial
Walter Verlag;info@walter-verlag.ch;Olten;Switzerland;Industrial
Waltham Watch Company;info@walthamwatchcompany.com;Marin-Epagnier;Switzerland;Manufacturing
Zephyr Surgical Implants;info@zephyrsurgical.com;Geneva;Switzerland;Pharma
Zimex Aviation;info@zimex.ch;Opfikon;Switzerland;Industrial
Zürcher Oberländer;info@zürcheroberländer.com;Wetzikon;Switzerland;Industrial
Zürichsee-Schifffahrtsgesellschaft;info@zürichseeschifffahrtsgese.com;Zürich;Switzerland;Industrial
Zürichsee-Zeitung;info@zürichseezeitung.com;Stäfa;Switzerland;Industrial
Banque SYZ;info@banquesyz.com;Geneva;Switzerland;Industrial
Baumann & Cie;info@baumannandcie.com;Basel;Switzerland;Industrial
BB Biotech;info@bbbiotech.com;Basel;Switzerland;Pharma
BDWM Transport;info@bdwmtransport.com;Bremgarten;Switzerland;Industrial
BX Swiss;info@bxswiss.com;Bern;Switzerland;Industrial
Chemins de fer du Jura;info@cheminsdeferdujura.com;Tavannes;Switzerland;Industrial
Club Airways International;info@clubairwaysinternational.com;Meyrin;Switzerland;Industrial
Compagnie Générale de Navigation;info@compagniegénéraledenaviga.com;Lausanne;Switzerland;Industrial
Luftseilbahn Adliswil-Felsenegg;info@luftseilbahnadliswilfelse.com;Adliswil;Switzerland;Industrial
A. Favre & Fils;info@afavreandfils.com;Carouge;Switzerland;Manufacturing
Alternative Bank Switzerland;info@alternativebankswitzerlan.com;Olten;Switzerland;Industrial
Belair;info@belair.com;Opfikon;Switzerland;Industrial
Breguet;info@breguet.com;Vallée de Joux;Switzerland;Manufacturing
Ciba Specialty Chemicals;info@cibaspecialtychemicals.com;Basel;Switzerland;Pharma
claro fair trade;info@clarofairtrade.com;Orpund;Switzerland;Manufacturing
Darwin Airline;info@darwinairline.com;Lugano;Switzerland;Industrial
easyJet Switzerland;info@easyjetswitzerland.com;Meyrin;Switzerland;Industrial
EF Education First;info@ef.com;Lund;Switzerland;Engineering
Interhandel;info@interhandel.com;Basel;Switzerland;Industrial
Lombard Odier & Cie;info@lombardodier.com;Geneva;Switzerland;Industrial
Métro Lausanne–Ouchy;info@métrolausanneouchy.com;Lausanne;Switzerland;Industrial
Nord Stream;info@nord-stream.com;Zug;Switzerland;Industrial
PrivatAir;info@privatair.com;Meyrin;Switzerland;Industrial
RosUkrEnergo;info@rosukrenergo.com;Zug;Switzerland;Industrial
Saurer;info@saurer.com;Arbon;Switzerland;Manufacturing
ST-Ericsson;info@stericsson.com;Geneva;Switzerland;Engineering
Swiss Global Air Lines;info@swissglobalairlines.com;Kloten;Switzerland;Industrial
Swiss National Bank;info@swissnationalbank.com;Bern;Switzerland;Industrial
Swiss Private Aviation;info@swissprivateaviation.com;Kloten;Switzerland;Industrial
Swissair;info@swissair.com;Kloten;Switzerland;Industrial
Xstrata;info@xstrata.com;Zug;Switzerland;Industrial
Zenith;info@zenith.com;Le Locle;Switzerland;Manufacturing
Bobst;info@bobst.com;Prilly;Switzerland;Manufacturing
Conzzeta;info@conzzeta.com;Zürich;Switzerland;Manufacturing
Dätwyler;info@dätwyler.com;Altdorf;Switzerland;Manufacturing
Ems-Chemie;info@emschemie.com;Domat/Ems;Switzerland;Pharma
Gurit;info@gurit.com;Zug;Switzerland;Manufacturing
Hero;;Lenzburg;Switzerland;Manufacturing
Kaba;;Rümlang;Switzerland;Manufacturing
Kistler;info@kistler.com;Winterthur;Switzerland;Manufacturing
Klingelnberg;info@klingelnberg.com;Zürich;Switzerland;Manufacturing
Komax;info@komax.com;Dierikon;Switzerland;Manufacturing
Landis+Gyr;info@landisgyr.com;Zug;Switzerland;Engineering
Medartis;info@medartis.com;Basel;Switzerland;Pharma
Medmix;info@medmix.com;Zug;Switzerland;Pharma
Mikron;info@mikron.com;Boudry;Switzerland;Manufacturing
Orell Füssli;info@orellfüssli.com;Zürich;Switzerland;Industrial
Polyphor;info@polyphor.com;Allschwil;Switzerland;Pharma
Rheinmetall Air Defence;info@rheinmetallairdefence.com;Zürich;Switzerland;Manufacturing
SFS Group;info@sfsgroup.com;Heerbrugg;Switzerland;Manufacturing
SIG Sauer;info@sigsauer.com;Neuhausen;Switzerland;Manufacturing
Swatch Group;info@swatchgroup.com;Biel/Bienne;Switzerland;Manufacturing
Temenos;info@temenos.com;Geneva;Switzerland;Engineering
V-Zug;;Zug;Switzerland;Manufacturing
Zühlke;info@zühlke.com;Zürich;Switzerland;Engineering
Autoneum;info@autoneum.com;Winterthur;Switzerland;Manufacturing
Bachem;info@bachem.com;Bubendorf;Switzerland;Pharma
Bachem Holding;info@bachemholding.com;Bubendorf;Switzerland;Pharma
Belimo;info@belimo.com;Hinwil;Switzerland;Manufacturing
Bystronic;info@bystronic.com;Niederönz;Switzerland;Manufacturing
Cembra Money Bank;info@cembramoneybank.com;Zürich;Switzerland;Industrial
CPH Chemie + Papier;info@cphchemiepapier.com;Perlen;Switzerland;Manufacturing
Datwyler;info@datwyler.com;Altdorf;Switzerland;Manufacturing
DKSH;;Zürich;Switzerland;Manufacturing
